location	code	product_ean	store_name
Asia/Kolkata	IN	9892261584648	Tiruppuvanam
Asia/Aqtobe	KZ	2226386318661	Shalqar
Europe/Berlin	DE	6768033755352	Hermsdorf
Europe/Belgrade	RS	9060038661728	Negotin
America/New_York	US	5278132541806	Collinwood
Africa/Algiers	DZ	9163752021714	Messaad
Europe/Moscow	RU	2205024169179	Likhobory
Asia/Tokyo	JP	4929958602523	Nonoichi
America/Chicago	US	9841459496430	San Juan
Asia/Shanghai	CN	7215418778837	Changzhi
Asia/Tokyo	JP	1417389607215	Yamada
Europe/Vilnius	LT	9684854543336	Ukmerge
America/Chicago	US	0921413029924	Rolla
Asia/Shanghai	CN	0971756098453	Pingyi
Europe/Berlin	DE	1616095918862	Charlottenburg-Nord
America/Mexico_City	MX	8161827160178	Jocotepec
America/Sao_Paulo	BR	0553016606105	Viradouro
America/New_York	US	3339847987753	Massapequa
America/Puerto_Rico	PR	1129321262146	Aguadilla
Asia/Shanghai	CN	1928647272132	Pingyi
Europe/Saratov	RU	9023233857976	Privolzhskiy
Asia/Bangkok	TH	5860465078823	Bua Yai
America/Guatemala	GT	6627457871577	Chichicastenango
Europe/Chisinau	MD	3101459549267	Soroca
America/Chicago	US	9661800534600	Columbia Heights
Europe/Madrid	ES	3338502979812	Jumilla
America/Lima	PE	2612243069638	Chosica
Africa/Lagos	NG	0379163464494	Argungu
Africa/Freetown	SL	6597171759584	Freetown
Europe/London	GB	3207996522692	Kingston upon Hull
Europe/Berlin	DE	5263354888372	Wesseling
Africa/Dar_es_Salaam	TZ	6248992687685	Mvomero
America/New_York	US	4403873621482	Leland
America/Toronto	CA	1557935432653	Dorval
Europe/Paris	FR	3417760020105	Le Chesnay
Africa/Johannesburg	ZA	5868880603613	Standerton
Africa/Algiers	DZ	2771435988086	Bordj Zemoura
Africa/Bangui	CF	3228039233825	Carnot
Europe/Bucharest	RO	9804675648564	Sector 6
America/Mexico_City	MX	8484768313077	Santa Rosa Jauregui
Asia/Kolkata	IN	6205210034867	Patti
Asia/Kolkata	IN	4223085386371	Rangia
Europe/Paris	FR	8819237882158	Vienne
America/Bogota	CO	7702696087404	Andes
America/Chicago	US	9138129271610	Fairview Heights
Europe/London	GB	9195674126765	Newbury
America/Guayaquil	EC	6624874290042	Cuenca
America/New_York	US	8975243858997	Lexington
America/Toronto	CA	6315064428818	Markham
Europe/London	GB	4793725408164	Blackpool
America/Cuiaba	BR	2446678203837	Nova Xavantina
Europe/Madrid	ES	4970439602402	Gandia
Asia/Riyadh	SA	7990561609190	Al Jubayl
Pacific/Auckland	NZ	2243631819056	Timaru
Asia/Tokyo	JP	5370335687272	Motomachi
Europe/London	GB	5775733942549	Brierley Hill
America/Chicago	US	8371594720899	Tyler
Europe/Rome	IT	6728422428182	Mesagne
Europe/Moscow	RU	6669415624719	Danilov
Asia/Kolkata	IN	7738735240677	Uran
Europe/Paris	FR	1414354974389	Vienne
America/Chicago	US	8101163142520	Rosemount
America/Chicago	US	7886664652662	Brenham
Asia/Almaty	KZ	4733488412374	Otegen Batyra
Africa/Dar_es_Salaam	TZ	2660321199883	Iringa
Europe/Moscow	RU	7646073477566	Gudermes
Europe/Moscow	RU	6204189107206	Gavrilov-Yam
Europe/Minsk	BY	3108512672832	Vitebsk
America/Havana	CU	9142321101705	Corralillo
Asia/Manila	PH	1174224675845	Tupi
Europe/Paris	FR	9677725668863	La Garenne-Colombes
America/Chicago	US	2672412069029	Odessa
Africa/Niamey	NE	5776924452588	Mirriah
Africa/Addis_Ababa	ET	0562595253266	Arba Minch
Asia/Kolkata	IN	3104100091337	Periyakulam
Europe/Rome	IT	3799087372212	Francavilla Fontana
America/New_York	US	6754369508151	Harrisburg
America/Sao_Paulo	BR	0439406978390	Miracema
Europe/Moscow	RU	0508881328089	Tver
Europe/Moscow	RU	9760573782024	Malakhovka
Asia/Kolkata	IN	1985202328178	Malaut
Europe/Moscow	RU	2647541981818	Alatyr’
America/Merida	MX	7219966462507	Progreso
Europe/Berlin	DE	7873555859149	Verl
America/Indiana/Indianapolis	US	0888716929408	Granger
Africa/Kinshasa	CD	5740808440527	Kasangulu
Europe/Rome	IT	8340538822821	Malnate
America/New_York	US	5626303300545	Peabody
Europe/Sarajevo	BA	5443883303427	Bijeljina
Europe/Paris	FR	2584583835153	Marseille 11
Asia/Bangkok	TH	4578349407669	Bang Ban
America/Chicago	US	1008813958975	Pekin
Europe/Malta	MT	3190681108069	Valletta
Europe/Moscow	RU	8163232538719	Gudermes
America/Los_Angeles	US	7670508106028	Norco
Asia/Kolkata	IN	1907827176361	Barpeta
Africa/Dar_es_Salaam	TZ	4096878768360	Mvomero
America/Chicago	US	0559408050167	San Juan
Africa/Djibouti	DJ	1149038859194	'Ali Sabieh
Europe/Brussels	BE	9147193571045	Beveren
Asia/Dhaka	BD	6515535007102	Manikchari
Asia/Kolkata	IN	2051578985860	Sambalpur
Atlantic/Azores	PT	7231856366146	Ponta Delgada
Europe/Brussels	BE	2559925295124	Houthalen
Europe/Podgorica	ME	0426598983233	Budva
Europe/Berlin	DE	6873815853963	Oschatz
Europe/Moscow	RU	4228899734189	Krymsk
Africa/Maputo	MZ	5905937961774	Maxixe
Africa/Lagos	NG	6603384544821	Gaya
Asia/Tokyo	JP	0691067787913	Okegawa
Asia/Jakarta	ID	1309902022912	Cibinong
Asia/Shanghai	CN	9815059585160	Shuangcheng
Africa/Johannesburg	ZA	7380235206549	Vryheid
Asia/Ho_Chi_Minh	VN	5803965090766	Sa Dec
America/Vancouver	CA	4616206910409	Vernon
Asia/Tokyo	JP	9307414297424	Minokamo
America/New_York	US	5011222351257	Belle Glade
America/Recife	BR	6025460180462	Cabo
America/Guayaquil	EC	3118664619234	Milagro
Europe/Rome	IT	7880404262838	Misterbianco
Asia/Karachi	PK	3303736219447	Tharu Shah
Europe/Brussels	BE	4810660944394	Denderleeuw
Europe/Berlin	DE	6014519681746	Hofheim am Taunus
Africa/Johannesburg	ZA	9036998925798	Standerton
America/New_York	US	3765953301440	Woodlawn
Asia/Tokyo	JP	1812866551812	Nayoro
America/Bogota	CO	5749642956027	El Copey
America/New_York	US	6691381530930	Yonkers
America/Manaus	BR	4662146055410	Itacoatiara
America/Managua	NI	6069200129779	Jinotepe
Asia/Tokyo	JP	4792377153521	Iwade
Europe/Paris	FR	6535663972301	Colomiers
Africa/Algiers	DZ	0708088563416	Beni Douala
Pacific/Auckland	NZ	5587831025686	Gisborne
Africa/Dar_es_Salaam	TZ	8065926079303	Kidodi
Asia/Shanghai	CN	9788446435686	Zhoushan
Asia/Dili	TL	7432021624331	Maliana
America/New_York	US	6565671654920	Sun City Center
Asia/Karachi	PK	7814516039415	Sangla Hill
Asia/Tokyo	JP	6300176461037	Nonoichi
Asia/Kuching	MY	7008559896719	Donggongon
Europe/Berlin	DE	7459218887546	Schwalmtal
America/New_York	US	0941798378462	Massapequa
Asia/Yangon	MM	9738706399791	Myawadi
America/Vancouver	CA	3866053046269	Kelowna
Europe/Berlin	DE	9568077614748	Friedberg
Africa/Tunis	TN	0049053164253	El Alia
Asia/Shanghai	CN	4365541696416	Danjiangkou
America/Los_Angeles	US	3020553121738	Indio
America/Sao_Paulo	BR	8893495261825	Viradouro
Africa/Algiers	DZ	9786953678404	Ksar Chellala
Asia/Tokyo	JP	0430937730297	Ueno-ebisumachi
Asia/Samarkand	UZ	4775460006652	Jizzax
Europe/Istanbul	TR	5608606898660	Silvan
Europe/London	GB	5382308596733	Lower Earley
America/Chicago	US	9581094707071	Odessa
America/Los_Angeles	US	1762787375045	Keizer
America/Bogota	CO	3346375475294	Madrid
Asia/Kolkata	IN	7625823002937	Kenda
America/Chicago	US	6694950314207	Pekin
Asia/Shanghai	CN	6156769951498	Sishui
Africa/Lagos	NG	9613548007373	Igbara-Odo
Europe/Moscow	RU	0996220114866	Severodvinsk
Asia/Tokyo	JP	8655990787022	Suzaka
America/New_York	US	8742344133236	Lexington
Asia/Yekaterinburg	RU	7510451292280	Ozersk
Europe/Paris	FR	2008588066676	Cavaillon
Africa/Bamako	ML	8395062434187	Kati
America/Santiago	CL	9363711487166	La Ligua
Europe/Helsinki	FI	4745606474683	Tornio
Africa/Tunis	TN	7314193986922	El Alia
America/Chicago	US	0600552358248	Pekin
America/New_York	US	4355956716601	Milledgeville
America/Mazatlan	MX	5485356993452	Acaponeta
Europe/Berlin	DE	9948075385626	Schleswig
Europe/Brussels	BE	4757835615706	Beveren
America/Matamoros	MX	0585457401032	Heroica Matamoros
Africa/Freetown	SL	9723069724632	Freetown
America/Chicago	US	5407299188306	Fairview Heights
Africa/Tunis	TN	4194468353245	Msaken
Europe/Berlin	DE	7814977862867	Eppingen
America/Panama	PA	1879344461971	Veracruz
Asia/Yekaterinburg	RU	0519945053915	Ozersk
Europe/London	GB	8469538640423	Winsford
Asia/Shanghai	CN	7947352565975	Boli
Asia/Shanghai	CN	0868514430443	Hushitai
Africa/Dar_es_Salaam	TZ	0671032784208	Same
America/New_York	US	0479750759351	Kendall
Africa/Kampala	UG	6615829382165	Kitgum
Asia/Kolkata	IN	3256705945154	Betamcherla
Europe/Moscow	RU	4474899614055	Kireyevsk
Europe/Moscow	RU	9277855539271	Dyat’kovo
Europe/Moscow	RU	9559752882583	Stupino
America/Los_Angeles	US	4130377082814	Watsonville
Africa/Banjul	GM	9744088316936	Farafenni
America/New_York	US	7669034346367	Front Royal
Africa/Algiers	DZ	7471463921325	Frenda
Asia/Barnaul	RU	0304280349294	Novosilikatnyy
Asia/Yekaterinburg	RU	4526929631188	Lesnoy
America/New_York	US	6058275593356	Newburgh
Europe/Rome	IT	0233456026854	Malnate
Asia/Yerevan	AM	3166881127155	Hrazdan
Asia/Shanghai	CN	8610061878634	Liaoyang
America/Chicago	US	6259490062355	Greenville
Asia/Jakarta	ID	6862409499045	Wangon
America/Chicago	US	4556458624627	Longview
Asia/Kolkata	IN	0656757028134	Bhayandar
Europe/Amsterdam	NL	9928577867745	Culemborg
Asia/Jerusalem	IL	8517617234077	Rahat
Asia/Tokyo	JP	4488965762946	Yao
Africa/Casablanca	MA	6827901010617	Azrou
Europe/Berlin	DE	0304576702086	Schleswig
America/Martinique	MQ	1152633688991	Le Robert
Europe/Berlin	DE	3821830851443	Gronau
Europe/Zagreb	HR	6621868284452	Split
Asia/Shanghai	CN	4301796462253	Hengshui
America/New_York	US	3144630073991	Pottstown
America/New_York	US	7071640009466	Brunswick
Europe/Berlin	DE	7940433191896	Stuttgart
America/Bahia	BR	8317295199244	Tucano
Europe/London	GB	1822001612179	Aberdeen
Europe/Prague	CZ	7142706658949	Most
Europe/London	GB	2428052626845	Thetford
Asia/Kolkata	IN	2977828703261	Udumalaippettai
Africa/Casablanca	MA	9254291773995	Jerada
America/Mexico_City	MX	7690137816860	Casa Blanca
Africa/Luanda	AO	6006010442902	Luena
Africa/Tunis	TN	6425819809752	Msaken
Asia/Kolkata	IN	2935374138043	Dalsingh Sarai
Europe/Berlin	DE	0980702076070	Charlottenburg-Nord
Europe/Berlin	DE	3024092549381	Gauting
Asia/Jerusalem	IL	4875458485107	Ramla
Europe/Berlin	DE	0804972867766	Schleswig
Europe/Madrid	ES	7902186154542	Gernika-Lumo
Europe/Kiev	UA	9951254805730	Artsyz
Asia/Kolkata	IN	0877631256997	Amreli
Asia/Tokyo	JP	0830156265806	Toyokawa
America/Detroit	US	1866853864683	Waverly
Europe/Helsinki	FI	9004087198620	Tornio
Europe/Moscow	RU	0188355561275	Gudermes
Africa/Lagos	NG	3391570570909	Argungu
Europe/Volgograd	RU	6750325658830	Mikhaylovka
America/Costa_Rica	CR	3758073871665	Liberia
Asia/Kolkata	IN	1727724711386	Srinagar
Africa/Cairo	EG	8863710318054	Alexandria
America/Chicago	US	1241788711361	Columbia Heights
America/New_York	US	8999009627108	Clermont
Asia/Yekaterinburg	RU	9198576556821	Lesnoy
America/Merida	MX	7857494108612	Progreso
America/New_York	US	8977234882073	Newburgh
America/New_York	US	2071387971960	Fayetteville
Asia/Kolkata	IN	2085521428029	Talipparamba
Asia/Kolkata	IN	9911300496220	Davangere
Europe/Madrid	ES	1749246243145	Ferrol
Asia/Kolkata	IN	6869858174356	Elamanchili
Asia/Shanghai	CN	0348433360040	Zhoushan
Europe/Istanbul	TR	2248753827439	Aksaray
America/Recife	BR	3035352873979	Recife
America/Martinique	MQ	2781438959983	Le Robert
America/New_York	US	6752646430393	Mechanicsville
Europe/Berlin	DE	1238506422326	Gauting
Asia/Tokyo	JP	0700385000830	Shinshiro
America/Denver	US	1761777405984	Kearns
Europe/Madrid	ES	7922489258167	el Camp de l'Arpa del Clot
Asia/Tokyo	JP	0895013964186	Yamada
Europe/Berlin	DE	2067217934922	Oschatz
Asia/Yekaterinburg	RU	5091636379443	Kuvandyk
Europe/Kiev	UA	4642357183539	Lutsk
Africa/Dar_es_Salaam	TZ	6834215941179	Mwandiga
Africa/Douala	CM	1486608032848	Tonga
America/Fortaleza	BR	0067917166656	Barras
Asia/Tehran	IR	8226865609697	Aleshtar
Europe/London	GB	5414446860381	Poulton-le-Fylde
Africa/Algiers	DZ	3961242315031	Cheraga
Europe/Berlin	DE	0601967679218	Stuttgart
Asia/Kuala_Lumpur	MY	7193368654169	Ulu Tiram
America/Argentina/Cordoba	AR	1184430145742	Rafaela
Africa/Abidjan	CI	8202280006877	Bonoua
Europe/Paris	FR	1347963434633	Montpellier
Europe/Lisbon	PT	0224222910378	Custoias
Europe/Berlin	DE	4954439497947	Gifhorn
America/New_York	US	3978353739892	Belle Glade
Europe/London	GB	0568316684548	Newbury
Asia/Yekaterinburg	RU	3729001293729	Ishim
Europe/Rome	IT	4887139563530	Catania
Europe/Lisbon	PT	7473791759755	Custoias
Asia/Tokyo	JP	7876614483705	Shinshiro
Asia/Kuching	MY	4571055497924	Donggongon
America/Chicago	US	9873479175132	Longview
America/Lima	PE	4422962268575	Yunguyo
Africa/Algiers	DZ	7468068519460	Boumerdas
Europe/Rome	IT	8934367891150	Bisceglie
Europe/Madrid	ES	4886582868810	Las Gabias
Europe/Paris	FR	0741197320358	Colomiers
Australia/Sydney	AU	2239170893510	Nowra
Asia/Tokyo	JP	9666330402351	Annaka
America/Caracas	VE	3398337967538	Barinas
America/New_York	US	1044579328379	Massapequa
Africa/Algiers	DZ	8138014627172	El Achir
Asia/Shanghai	CN	2562991968335	Ulanhot
Asia/Kolkata	IN	8872660890497	Pandua
Europe/Brussels	BE	8892655178577	Lille
Asia/Kolkata	IN	8160813883862	Madhipura
America/Jamaica	JM	5929938456008	New Kingston
Europe/Amsterdam	NL	4115901067475	Emmeloord
Europe/Brussels	BE	1656518342270	Gembloux
Asia/Shanghai	CN	1197514788919	Tianfu
Asia/Jakarta	ID	4991524841056	Besuki
Pacific/Auckland	NZ	2691992284424	Gisborne
Europe/Moscow	RU	2074806995516	Kireyevsk
Asia/Shanghai	CN	8829548981204	Pingyi
America/Los_Angeles	US	9198733314820	Visitacion Valley
Europe/London	GB	9232295870964	Newbury
America/Los_Angeles	US	7166398896014	Pahrump
Europe/Madrid	ES	8207179019006	Cardedeu
America/New_York	US	7932123188040	Far Rockaway
America/Chicago	US	3890759223181	Muskogee
America/Cuiaba	BR	2972761265388	Nova Xavantina
America/Santo_Domingo	DO	4396559392793	Santa Cruz de Barahona
Asia/Baku	AZ	9336006646289	Qazax
Asia/Shanghai	CN	1630516707392	Hushitai
America/Chicago	US	1882802769106	New City
America/New_York	US	2562325743867	Scarsdale
Europe/Saratov	RU	6009178555767	Privolzhskiy
Asia/Manila	PH	6050979880619	Dipolog
America/Caracas	VE	6092014933782	La Victoria
America/Detroit	US	4611085950508	Port Huron
Asia/Bangkok	TH	8766999635693	Roi Et
Asia/Shanghai	CN	8186185381935	Pingyi
Asia/Manila	PH	6377061018195	Burgos
Europe/Rome	IT	0639829493474	Chiavari
America/Managua	NI	7386496603479	Jinotepe
Europe/Moscow	RU	0313824388316	Kovylkino
Europe/Rome	IT	3578286717907	Ragusa
Europe/Moscow	RU	9296566363470	Severodvinsk
America/Caracas	VE	5333022458371	Ciudad Guayana
America/Sao_Paulo	BR	3921549697063	Miracema
America/New_York	US	9900664905554	Woodbridge
Africa/Abidjan	CI	9515232322703	Bonoua
Asia/Kolkata	IN	0319624533284	Pujali
Europe/Moscow	RU	5525295192322	Alatyr’
Asia/Kolkata	IN	2146359025573	Srinagar
America/Chicago	US	0719661950165	Hutchinson
Asia/Kabul	AF	0101977782392	Sar-e Pul
Europe/London	GB	3020881340955	Viewpark
Asia/Manila	PH	5570537750426	Antipolo
America/Edmonton	CA	1725162058407	Sherwood Park
Asia/Kuching	MY	1099688242962	Donggongon
Europe/Rome	IT	2518175539839	Gorgonzola
Europe/Paris	FR	6950987012074	Valence
Africa/Porto-Novo	BJ	3699389820964	Tchaourou
Europe/Helsinki	FI	7480458624820	Kallio
Asia/Yekaterinburg	RU	2624431822949	Oktyabr’skiy
Europe/Moscow	RU	0854020811487	Severodvinsk
America/Maceio	BR	1460849038937	Barra dos Coqueiros
Asia/Jakarta	ID	6070436320304	Sukabumi
Africa/Banjul	GM	9945221613121	Farafenni
Asia/Kolkata	IN	0926831098699	Kenda
Pacific/Efate	VU	2286179215720	Port-Vila
America/New_York	US	9858448257095	Malden
Asia/Shanghai	CN	9614608057659	Licheng
America/Bahia	BR	7709669771001	Canavieiras
Asia/Karachi	PK	2147134388586	Qadirpur Ran
Europe/Amsterdam	NL	0906268373873	Barneveld
Asia/Yekaterinburg	RU	5602202595589	Ishim
Asia/Manila	PH	8173886005031	Guyong
America/Los_Angeles	US	1211579677169	Pahrump
Asia/Tehran	IR	2617621367610	Nowshahr
Australia/Perth	AU	8450515779588	Perth
America/Toronto	CA	6562286760879	Dorval
Europe/Warsaw	PL	6612726275750	Reda
America/Sao_Paulo	BR	2773619935305	Sarandi
Europe/Madrid	ES	2613706139806	San Juan de Aznalfarache
America/Sao_Paulo	BR	9180088320809	Carlos Barbosa
Asia/Tashkent	UZ	3738292981741	Andijon
Asia/Kolkata	IN	7453911426873	Srinagar
Africa/Johannesburg	ZA	4841171625557	Standerton
America/Bogota	CO	1923592662762	Buenaventura
Asia/Shanghai	CN	7268105055049	Yanliang
America/Chicago	US	5609977766954	Bourbonnais
Europe/Oslo	NO	8689712296714	Harstad
Asia/Tokyo	JP	1529650374747	Motomachi
America/Los_Angeles	US	9203659665687	Bryn Mawr-Skyway
Europe/Paris	FR	8280014738515	Elbeuf
Europe/Berlin	DE	4726667605728	Finnentrop
Africa/Algiers	DZ	7598005601795	Bordj Zemoura
Europe/Lisbon	PT	2059315725663	Paredes
America/Santiago	CL	3753769965857	La Ligua
Australia/Sydney	AU	2357369791758	Nowra
Asia/Manila	PH	9936447153614	La Trinidad
Africa/Dar_es_Salaam	TZ	5933200384319	Magomeni
Europe/Belgrade	RS	9214143530176	Negotin
Europe/Helsinki	FI	8550671444839	Tornio
Asia/Yekaterinburg	RU	6150214540350	Ozersk
Asia/Tokyo	JP	3786068350291	Motomachi
Asia/Shanghai	CN	2128861216731	Boli
Europe/Berlin	DE	8850419794739	Gronau
Asia/Tehran	IR	7878742409473	Shahre Jadide Andisheh
Asia/Karachi	PK	3566335163171	Sangla Hill
Asia/Kolkata	IN	0276927630044	Betamcherla
Europe/Rome	IT	4400548849080	Castelfranco Emilia
Europe/Berlin	DE	5911951272550	Zeitz
Asia/Tokyo	JP	9624086549065	Nonoichi
Asia/Jakarta	ID	8206217999997	Tebingtinggi
Asia/Bishkek	KG	5605560315837	Jalal-Abad
Asia/Kolkata	IN	5645305744102	Kashipur
America/Sao_Paulo	BR	9863067129548	Soledade
Africa/Dar_es_Salaam	TZ	5549202486892	Iringa
Africa/Abidjan	CI	2628017196295	Lakota
Europe/Berlin	DE	0912870694039	Kirchlengern
Asia/Krasnoyarsk	RU	5731419125927	Sharypovo
Asia/Shanghai	CN	7360237985482	Foshan
Asia/Tehran	IR	6706642709977	Shahre Jadide Andisheh
Europe/Helsinki	FI	9751741175762	Espoo
America/Los_Angeles	US	4056466941551	Claremont
Asia/Kolkata	IN	7026063154989	Chharra
Europe/Moscow	RU	6768681243485	Bogoroditsk
Asia/Seoul	KR	3197290416240	Goyang-si
America/New_York	US	1545770735633	Toledo
America/Lima	PE	6569869337244	Minas de Marcona
America/New_York	US	3985155333357	Fitchburg
America/Toronto	CA	9740266507226	Pointe-Claire
Europe/Moscow	RU	5332045488716	Alatyr’
Asia/Shanghai	CN	6600265671812	Licheng
America/New_York	US	6698854341611	Bridgeport
Asia/Hong_Kong	HK	4009738698455	Tsuen Wan
Europe/Brussels	BE	6705327288288	Beveren
Europe/Berlin	DE	6137937081346	Kirchlengern
America/Chicago	US	8208456141052	Bourbonnais
America/Chicago	US	7564865806267	Pekin
Asia/Almaty	KZ	1860993957915	Otegen Batyra
America/New_York	US	5468182020974	Far Rockaway
Asia/Yangon	MM	2680286663854	Dawei
Asia/Kolkata	IN	8351300381354	Supaul
Asia/Yekaterinburg	RU	0009849880446	Lesnoy
Asia/Manila	PH	3267857288778	Manaoag
America/New_York	US	4801881655329	Dumont
America/Caracas	VE	3643378009281	Ciudad Guayana
Asia/Bangkok	TH	1982841694275	Tak Bai
Europe/Rome	IT	1630725219457	Sassari
Europe/Paris	FR	6644621159392	Bron
Africa/Johannesburg	ZA	0264054290279	Standerton
America/Mexico_City	MX	7409251095880	Guanajuato
Europe/Berlin	DE	2887033049415	Friedberg
